date,product,price
10.07.2021,DS1621+,914
11.07.2021,DS1621+,914
12.07.2021,DS1621+,914
13.07.2021,DS1621+,914
14.07.2021,DS1621+,919
15.07.2021,DS1621+,915
16.07.2021,DS1621+,913
17.07.2021,DS1621+,912
18.07.2021,DS1621+,914
19.07.2021,DS1621+,914
20.07.2021,DS1621+,919
21.07.2021,DS1621+,913
22.07.2021,DS1621+,914
23.07.2021,DS1621+,912
24.07.2021,DS1621+,912
25.07.2021,DS1621+,913
26.07.2021,DS1621+,913
27.07.2021,DS1621+,913
28.07.2021,DS1621+,912
29.07.2021,DS1621+,911
30.07.2021,DS1621+,911
31.07.2021,DS1621+,910
01.08.2021,DS1621+,908
02.08.2021,DS1621+,919
03.08.2021,DS1621+,919
04.08.2021,DS1621+,907
05.08.2021,DS1621+,905
06.08.2021,DS1621+,905
07.08.2021,DS1621+,905
08.08.2021,DS1621+,904
09.08.2021,DS1621+,904
10.08.2021,DS1621+,904
11.08.2021,DS1621+,909
12.08.2021,DS1621+,911
13.08.2021,DS1621+,912
14.08.2021,DS1621+,912
15.08.2021,DS1621+,912
16.08.2021,DS1621+,912
17.08.2021,DS1621+,912
18.08.2021,DS1621+,907
19.08.2021,DS1621+,903
20.08.2021,DS1621+,904
21.08.2021,DS1621+,904
22.08.2021,DS1621+,903
23.08.2021,DS1621+,903
24.08.2021,DS1621+,903
25.08.2021,DS1621+,906
26.08.2021,DS1621+,903
27.08.2021,DS1621+,905
28.08.2021,DS1621+,909
29.08.2021,DS1621+,912
30.08.2021,DS1621+,915
31.08.2021,DS1621+,915
01.09.2021,DS1621+,915
02.09.2021,DS1621+,915
03.09.2021,DS1621+,918
04.09.2021,DS1621+,919
05.09.2021,DS1621+,917
06.09.2021,DS1621+,920
07.09.2021,DS1621+,920
08.09.2021,DS1621+,921
09.09.2021,DS1621+,920
10.09.2021,DS1621+,922
11.09.2021,DS1621+,920
12.09.2021,DS1621+,920
13.09.2021,DS1621+,920
14.09.2021,DS1621+,920
15.09.2021,DS1621+,921
16.09.2021,DS1621+,927
17.09.2021,DS1621+,923
18.09.2021,DS1621+,927
19.09.2021,DS1621+,935
20.09.2021,DS1621+,935
21.09.2021,DS1621+,935
22.09.2021,DS1621+,935
23.09.2021,DS1621+,935
24.09.2021,DS1621+,935
25.09.2021,DS1621+,935
26.09.2021,DS1621+,843
27.09.2021,DS1621+,855
28.09.2021,DS1621+,837
29.09.2021,DS1621+,837
30.09.2021,DS1621+,854
01.10.2021,DS1621+,854
02.10.2021,DS1621+,875
03.10.2021,DS1621+,884
04.10.2021,DS1621+,884
05.10.2021,DS1621+,884
06.10.2021,DS1621+,884
07.10.2021,DS1621+,855
08.10.2021,DS1621+,855
09.10.2021,DS1621+,855
10.10.2021,DS1621+,855
11.10.2021,DS1621+,855
12.10.2021,DS1621+,855
13.10.2021,DS1621+,855
14.10.2021,DS1621+,855
15.10.2021,DS1621+,855
16.10.2021,DS1621+,930
17.10.2021,DS1621+,934
