date,product,price
17.12.2020,Lampe BenQ 5J.JHN05.001,208
30.04.2021,Lampe BenQ 5J.JHN05.001,212
25.07.2021,Lampe BenQ 5J.JHN05.001,213
26.07.2021,Lampe BenQ 5J.JHN05.001,213
27.07.2021,Lampe BenQ 5J.JHN05.001,213
28.07.2021,Lampe BenQ 5J.JHN05.001,213
29.07.2021,Lampe BenQ 5J.JHN05.001,213
30.07.2021,Lampe BenQ 5J.JHN05.001,213
31.07.2021,Lampe BenQ 5J.JHN05.001,213
01.08.2021,Lampe BenQ 5J.JHN05.001,213
02.08.2021,Lampe BenQ 5J.JHN05.001,213
03.08.2021,Lampe BenQ 5J.JHN05.001,213
04.08.2021,Lampe BenQ 5J.JHN05.001,213
05.08.2021,Lampe BenQ 5J.JHN05.001,209
06.08.2021,Lampe BenQ 5J.JHN05.001,209
07.08.2021,Lampe BenQ 5J.JHN05.001,209
08.08.2021,Lampe BenQ 5J.JHN05.001,209
09.08.2021,Lampe BenQ 5J.JHN05.001,209
10.08.2021,Lampe BenQ 5J.JHN05.001,209
11.08.2021,Lampe BenQ 5J.JHN05.001,209
12.08.2021,Lampe BenQ 5J.JHN05.001,213
13.08.2021,Lampe BenQ 5J.JHN05.001,213
14.08.2021,Lampe BenQ 5J.JHN05.001,213
15.08.2021,Lampe BenQ 5J.JHN05.001,213
16.08.2021,Lampe BenQ 5J.JHN05.001,213
17.08.2021,Lampe BenQ 5J.JHN05.001,213
18.08.2021,Lampe BenQ 5J.JHN05.001,213
19.08.2021,Lampe BenQ 5J.JHN05.001,210
20.08.2021,Lampe BenQ 5J.JHN05.001,210
21.08.2021,Lampe BenQ 5J.JHN05.001,210
22.08.2021,Lampe BenQ 5J.JHN05.001,210
23.08.2021,Lampe BenQ 5J.JHN05.001,210
24.08.2021,Lampe BenQ 5J.JHN05.001,210
25.08.2021,Lampe BenQ 5J.JHN05.001,210
26.08.2021,Lampe BenQ 5J.JHN05.001,219
27.08.2021,Lampe BenQ 5J.JHN05.001,220
28.08.2021,Lampe BenQ 5J.JHN05.001,220
29.08.2021,Lampe BenQ 5J.JHN05.001,220
30.08.2021,Lampe BenQ 5J.JHN05.001,220
31.08.2021,Lampe BenQ 5J.JHN05.001,220
01.09.2021,Lampe BenQ 5J.JHN05.001,220
02.09.2021,Lampe BenQ 5J.JHN05.001,204
03.09.2021,Lampe BenQ 5J.JHN05.001,204
04.09.2021,Lampe BenQ 5J.JHN05.001,204
05.09.2021,Lampe BenQ 5J.JHN05.001,204
06.09.2021,Lampe BenQ 5J.JHN05.001,204
07.09.2021,Lampe BenQ 5J.JHN05.001,204
08.09.2021,Lampe BenQ 5J.JHN05.001,204
09.09.2021,Lampe BenQ 5J.JHN05.001,204
10.09.2021,Lampe BenQ 5J.JHN05.001,204
11.09.2021,Lampe BenQ 5J.JHN05.001,204
12.09.2021,Lampe BenQ 5J.JHN05.001,204
13.09.2021,Lampe BenQ 5J.JHN05.001,204
14.09.2021,Lampe BenQ 5J.JHN05.001,204
15.09.2021,Lampe BenQ 5J.JHN05.001,204
16.09.2021,Lampe BenQ 5J.JHN05.001,204
17.09.2021,Lampe BenQ 5J.JHN05.001,204
18.09.2021,Lampe BenQ 5J.JHN05.001,204
19.09.2021,Lampe BenQ 5J.JHN05.001,204
20.09.2021,Lampe BenQ 5J.JHN05.001,204
21.09.2021,Lampe BenQ 5J.JHN05.001,204
22.09.2021,Lampe BenQ 5J.JHN05.001,204
23.09.2021,Lampe BenQ 5J.JHN05.001,204
24.09.2021,Lampe BenQ 5J.JHN05.001,204
25.09.2021,Lampe BenQ 5J.JHN05.001,204
26.09.2021,Lampe BenQ 5J.JHN05.001,204
27.09.2021,Lampe BenQ 5J.JHN05.001,204
28.09.2021,Lampe BenQ 5J.JHN05.001,204
29.09.2021,Lampe BenQ 5J.JHN05.001,204
30.09.2021,Lampe BenQ 5J.JHN05.001,210
01.10.2021,Lampe BenQ 5J.JHN05.001,210
02.10.2021,Lampe BenQ 5J.JHN05.001,210
03.10.2021,Lampe BenQ 5J.JHN05.001,210
04.10.2021,Lampe BenQ 5J.JHN05.001,210
05.10.2021,Lampe BenQ 5J.JHN05.001,210
06.10.2021,Lampe BenQ 5J.JHN05.001,210
07.10.2021,Lampe BenQ 5J.JHN05.001,210
08.10.2021,Lampe BenQ 5J.JHN05.001,210
09.10.2021,Lampe BenQ 5J.JHN05.001,210
10.10.2021,Lampe BenQ 5J.JHN05.001,210
11.10.2021,Lampe BenQ 5J.JHN05.001,210
12.10.2021,Lampe BenQ 5J.JHN05.001,210
13.10.2021,Lampe BenQ 5J.JHN05.001,210
14.10.2021,Lampe BenQ 5J.JHN05.001,210
15.10.2021,Lampe BenQ 5J.JHN05.001,210
16.10.2021,Lampe BenQ 5J.JHN05.001,210
17.10.2021,Lampe BenQ 5J.JHN05.001,210
18.10.2021,Lampe BenQ 5J.JHN05.001,210
19.10.2021,Lampe BenQ 5J.JHN05.001,210
20.10.2021,Lampe BenQ 5J.JHN05.001,210
21.10.2021,Lampe BenQ 5J.JHN05.001,208
22.10.2021,Lampe BenQ 5J.JHN05.001,208
23.10.2021,Lampe BenQ 5J.JHN05.001,208
24.10.2021,Lampe BenQ 5J.JHN05.001,208
25.10.2021,Lampe BenQ 5J.JHN05.001,208
26.10.2021,Lampe BenQ 5J.JHN05.001,208
27.10.2021,Lampe BenQ 5J.JHN05.001,208
28.10.2021,Lampe BenQ 5J.JHN05.001,208
29.10.2021,Lampe BenQ 5J.JHN05.001,208
30.10.2021,Lampe BenQ 5J.JHN05.001,208
31.10.2021,Lampe BenQ 5J.JHN05.001,208
01.11.2021,Lampe BenQ 5J.JHN05.001,208
02.11.2021,Lampe BenQ 5J.JHN05.001,208
03.11.2021,Lampe BenQ 5J.JHN05.001,208
04.11.2021,Lampe BenQ 5J.JHN05.001,208
05.11.2021,Lampe BenQ 5J.JHN05.001,208
06.11.2021,Lampe BenQ 5J.JHN05.001,208
07.11.2021,Lampe BenQ 5J.JHN05.001,208
08.11.2021,Lampe BenQ 5J.JHN05.001,208
09.11.2021,Lampe BenQ 5J.JHN05.001,208
10.11.2021,Lampe BenQ 5J.JHN05.001,208
11.11.2021,Lampe BenQ 5J.JHN05.001,208
12.11.2021,Lampe BenQ 5J.JHN05.001,208
13.11.2021,Lampe BenQ 5J.JHN05.001,208
14.11.2021,Lampe BenQ 5J.JHN05.001,208
15.11.2021,Lampe BenQ 5J.JHN05.001,208
16.11.2021,Lampe BenQ 5J.JHN05.001,208
17.11.2021,Lampe BenQ 5J.JHN05.001,208
18.11.2021,Lampe BenQ 5J.JHN05.001,208
19.11.2021,Lampe BenQ 5J.JHN05.001,208
20.11.2021,Lampe BenQ 5J.JHN05.001,208
21.11.2021,Lampe BenQ 5J.JHN05.001,208
22.11.2021,Lampe BenQ 5J.JHN05.001,208
23.11.2021,Lampe BenQ 5J.JHN05.001,208
24.11.2021,Lampe BenQ 5J.JHN05.001,208
25.11.2021,Lampe BenQ 5J.JHN05.001,208
26.11.2021,Lampe BenQ 5J.JHN05.001,208
27.11.2021,Lampe BenQ 5J.JHN05.001,208
28.11.2021,Lampe BenQ 5J.JHN05.001,208
29.11.2021,Lampe BenQ 5J.JHN05.001,208
